"recipe_id","name","value","unit"
"7","Vláknina","2,10","2,10 g"
"7","Cholesterol","113","
113 mg
	"
"7","Sodík","1,48","
1,48 g
	"
"7","Sůl","3,80","3,80 g"
"7","Sacharidy","4,48","4,48 g"
"7"," – cukry","3,43","3,43 g"
"7"," ––– laktóza","1,33","1,33 g"
"7","Energie","1 302","1 302 kJ / 311 kcal"
"7","Bílkoviny","2,70","2,70 g"
"7"," – z toho živočišné bílkoviny","0,70","0,70 g"
"7"," – z toho rostlinné bílkoviny","2,00","2,00 g"
"7","Tuky","15,89","15,89 g"
"7"," – nasycené","3,64","3,64 g"
"7"," – nenasycené","10,81","10,81 g"
"7"," –– mononenasycené","3,50","3,50 g"
"7"," –– polynenasycené","7,31","7,31 g"
"7"," ––– omega 3","0,26","0,26 g"
"7","Vláknina","9,25","9,25 g"
"7","Cholesterol","29","
29 mg
	"
"7","Sodík","180","
180 mg
	"
"7","Sůl","0,43","0,43 g"
"7","Sacharidy","34,73","34,73 g"
"7"," – cukry","31,25","31,25 g"
"7"," ––– laktóza","0,95","0,95 g"
"7","Energie","4 098","4 098 kJ / 979 kcal"
"7","Bílkoviny","103,14","103,14 g"
"7"," – z toho živočišné bílkoviny","97,45","97,45 g"
"7"," – z toho rostlinné bílkoviny","5,69","5,69 g"
"7","Tuky","36,73","36,73 g"
"7"," – nasycené","13,15","13,15 g"
"7"," – nenasycené","17,42","17,42 g"
"7"," –– mononenasycené","12,70","12,70 g"
"7"," –– polynenasycené","4,72","4,72 g"
"7"," ––– omega 3","0,14","0,14 g"
"7","Vláknina","13,40","13,40 g"
"7","Cholesterol","1,56","
1,56 g
	"
"7","Sodík","624","
624 mg
	"
"7","Sůl","2,25","2,25 g"
"7","Sacharidy","56,29","56,29 g"
"7"," – cukry","10,91","10,91 g"
"7"," ––– laktóza","0,00","0,00 g"
"7","Energie","6 579","6 579 kJ / 1 572 kcal"
"7","Bílkoviny","178,91","178,91 g"
"7"," – z toho živočišné bílkoviny","167,61","167,61 g"
"7"," – z toho rostlinné bílkoviny","11,30","11,30 g"
"7","Tuky","70,22","70,22 g"
"7"," – nasycené","34,14","34,14 g"
"7"," – nenasycené","26,65","26,65 g"
"7"," –– mononenasycené","22,71","22,71 g"
"7"," –– polynenasycené","3,94","3,94 g"
"7"," ––– omega 3","0,47","0,47 g"
"7","Vláknina","26,35","26,35 g"
"7","Cholesterol","429","
429 mg
	"
"7","Sodík","2,06","
2,06 g
	"
"7","Sůl","6,10","6,10 g"
"7","Sacharidy","46,42","46,42 g"
"7"," – cukry","23,62","23,62 g"
"7"," ––– laktóza","5,42","5,42 g"
"7","Energie","823","823 kJ / 197 kcal"
"7","Bílkoviny","25,85","25,85 g"
"7"," – z toho živočišné bílkoviny","25,35","25,35 g"
"7"," – z toho rostlinné bílkoviny","0,50","0,50 g"
"7","Tuky","8,14","8,14 g"
"7"," – nasycené","2,17","2,17 g"
"7"," – nenasycené","3,70","3,70 g"
"7"," –– mononenasycené","2,94","2,94 g"
"7"," –– polynenasycené","0,75","0,75 g"
"7"," ––– omega 3","0,03","0,03 g"
"7","Vláknina","0,20","0,20 g"
"7","Cholesterol","261","
261 mg
	"
"7","Sodík","1,21","
1,21 g
	"
"7","Sůl","2,93","2,93 g"
"7","Sacharidy","4,95","4,95 g"
"7"," – cukry","1,00","1,00 g"
"7"," ––– laktóza","0,70","0,70 g"
"7","Energie","4 334","4 334 kJ / 1 036 kcal"
"7","Bílkoviny","32,72","32,72 g"
"7"," – z toho živočišné bílkoviny","15,72","15,72 g"
"7"," – z toho rostlinné bílkoviny","17,00","17,00 g"
"7","Tuky","63,31","63,31 g"
"7"," – nasycené","36,52","36,52 g"
"7"," – nenasycené","20,61","20,61 g"
"7"," –– mononenasycené","17,80","17,80 g"
"7"," –– polynenasycené","2,81","2,81 g"
"7"," ––– omega 3","0,53","0,53 g"
"7","Vláknina","13,00","13,00 g"
"7","Cholesterol","419","
419 mg
	"
"7","Sodík","710","
710 mg
	"
"7","Sůl","1,76","1,76 g"
"7","Sacharidy","77,31","77,31 g"
"7"," – cukry","5,61","5,61 g"
"7"," ––– laktóza","3,61","3,61 g"
"7","Energie","3 186","3 186 kJ / 762 kcal"
"7","Bílkoviny","21,20","21,20 g"
"7"," – z toho živočišné bílkoviny","7,07","7,07 g"
"7"," – z toho rostlinné bílkoviny","14,13","14,13 g"
"7","Tuky","37,27","37,27 g"
"7"," – nasycené","23,45","23,45 g"
"7"," – nenasycené","11,83","11,83 g"
"7"," –– mononenasycené","10,25","10,25 g"
"7"," –– polynenasycené","1,58","1,58 g"
"7"," ––– omega 3","0,31","0,31 g"
"7","Vláknina","21,90","21,90 g"
"7","Cholesterol","116","
116 mg
	"
"7","Sodík","4,12","
4,12 g
	"
"7","Sůl","10,25","10,25 g"
"7","Sacharidy","75,58","75,58 g"
"7"," – cukry","36,28","36,28 g"
"7"," ––– laktóza","9,58","9,58 g"
"7","Energie","4 413","4 413 kJ / 1 055 kcal"
"7","Bílkoviny","54,36","54,36 g"
"7"," – z toho živočišné bílkoviny","52,08","52,08 g"
"7"," – z toho rostlinné bílkoviny","2,28","2,28 g"
"7","Tuky","87,13","87,13 g"
"7"," – nasycené","16,08","16,08 g"
"7"," – nenasycené","53,96","53,96 g"
"7"," –– mononenasycené","26,83","26,83 g"
"7"," –– polynenasycené","27,13","27,13 g"
"7"," ––– omega 3","0,77","0,77 g"
"7","Vláknina","4,40","4,40 g"
"7","Cholesterol","1,62","
1,62 g
	"
"7","Sodík","1,06","
1,06 g
	"
"7","Sůl","2,41","2,41 g"
"7","Sacharidy","12,25","12,25 g"
"7"," – cukry","4,20","4,20 g"
"7"," ––– laktóza","0,00","0,00 g"
"7","Energie","9 580","9 580 kJ / 2 290 kcal"
"7","Bílkoviny","138,49","138,49 g"
"7"," – z toho živočišné bílkoviny","133,70","133,70 g"
"7"," – z toho rostlinné bílkoviny","4,79","4,79 g"
"7","Tuky","172,92","172,92 g"
"7"," – nasycené","55,91","55,91 g"
"7"," – nenasycené","83,38","83,38 g"
"7"," –– mononenasycené","65,27","65,27 g"
"7"," –– polynenasycené","18,11","18,11 g"
"7"," ––– omega 3","2,47","2,47 g"
"7","Vláknina","16,72","16,72 g"
"7","Cholesterol","3,80","
3,80 g
	"
"7","Sodík","1,80","
1,80 g
	"
"7","Sůl","4,05","4,05 g"
"7","Sacharidy","37,69","37,69 g"
"7"," – cukry","24,78","24,78 g"
"7"," ––– laktóza","8,25","8,25 g"
"7","Energie","7 535","7 535 kJ / 1 801 kcal"
"7","Bílkoviny","134,65","134,65 g"
"7"," – z toho živočišné bílkoviny","72,00","72,00 g"
"7"," – z toho rostlinné bílkoviny","62,65","62,65 g"
"7","Tuky","7,00","7,00 g"
"7"," – nasycené","1,65","1,65 g"
"7"," – nenasycené","4,25","4,25 g"
"7"," –– mononenasycené","1,45","1,45 g"
"7"," –– polynenasycené","2,80","2,80 g"
"7"," ––– omega 3","0,85","0,85 g"
"7","Vláknina","44,60","44,60 g"
