"recipe_id","name","description","amount"
"2","Sůl mořská","['sůl']","
"
"2","Pepř černý","['pepř']","
"
"2","Žampion čerstvý","['400 g', '400 g ', ' žampionů']","400 g"
"2","Cibule čerstvá","['2', '2 ', ' cibule']","2"
"2","Olej řepkový","['1 lžíce', '1 lžíce ', ' oleje']","1 lžíce"
"2","Máslo kravské","['1 lžíce', '1 lžíce ', ' másla']","1 lžíce"
"2","Krupice pšeničná jemná","['1', '1 ', ' rovná lžíce dětské krupičky']","1"
"2","Sůl mořská","['sůl']","
"
"2","Pepř černý","['pepř']","
"
"2","Tymián sušený","['1 lžička', '1 lžička ', ' tymiánu']","1 lžička"
"2","Česnek čerstvý","['3 stroužky', '3 stroužky ', ' česneku']","3 stroužky"
"2","Kmín mletý","['1 špetka', '1 špetka ', '  mletého kmínu']","1 špetka"
"2","Sýr tavený","['120 g', '120 g ', ' smetanového sýra']","120 g"
"2","Worcestrová omáčka","['2 lžičky', '2 lžičky ', ' worcesteru']","2 lžičky"
"2","Smetana kravská sladká 30%","['250 ml', '250 ml ', ' smetany ke šlehání']","250 ml"
"2","Pažitka čerstvá","['pažitka']","
"
"2","Fazole červená ledvina","['1 plechovka', '1 plechovka ', ' červených fazolí (255 g bez tekutiny)']","1 plechovka"
"2","Vločky ovesné","['90 g', '90 g ', ' ovesných vloček']","90 g"
"2","Vejce slepičí","['2', '2 ', ' vejce']","2"
"2","Mléko kravské polotučné 1,5%","['0,5 hrnku', '0,5 hrnku ', ' mléka']","0,5 hrnku"
"2","Med nepasterovaný","['20 g', '20 g ', ' květového medu']","20 g"
"2","Perníkové koření","['1 lžička', '1 lžička ', ' perníkového koření']","1 lžička"
"2","Skořice ceylonská mletá","['2 lžičky', '2 lžičky ', ' mleté skořice']","2 lžičky"
"2","Cukr vanilkový","['5 g', '5 g ', ' vanilkového cukru']","5 g"
"2","Cukr bílý","['48 g', '48 g ', ' cukru']","48 g"
"2","Kypřící prášek","['5 g', '5 g ', ' prášku do pečiva']","5 g"
"2","","['']","
"
"2","","['čokoláda, pomazánka nebo ovoce']","
"
"2","","['']","
"
"2","Mouka pšeničná polohrubá","['300 g', '300 g ', ' polohrubé mouky']","300 g"
"2","Mouka pšeničná hladká","['200 g', '200 g ', ' hladké mouky']","200 g"
"2","Sůl mořská","['15 g', '15 g ', ' soli']","15 g"
"2","Brambor zimní","['120 g', '120 g ', ' studených vařených brambor']","120 g"
"2","Mléko kravské polotučné 1,5%","['250 - 260 g', '250 - 260 g ', ' mléka']","250 - 260 g"
"2","Vaječný žloutek","['1', '1 ', ' žloutek']","1"
